English,Japanese,Short,Notes,Status
Eyn Roj,エイン・ロージ,エイン・ロージ,樹上都市圏の“幹”,draft
Ezra,エズラ,エズラ,バナナ園の村,draft
Fauns of the Meadow,草原のファウン,,source: Books.jp.xml,draft
Fellowship of Wardens,監視官同胞団,監視官団,各地集落の保安組織。成員の役職名は「監視官」で統一する,draft
Fjorn-Kosef,フィヨルン＝コセフ,,source: Creatures.jp.xml,draft
Flower fields,花原,花原,,draft
Folk Catacombs,民のカタコンベ,,source: Worlds.jp.xml,draft
Fullerite,フラーレン,,C60由来の架空素材,draft
fresh water,淡水,,source: ui-liquids.ja.json,draft
Garden of Geth,ゲスの園,ゲス園,旧コンテンツ（資料用／非現行）,draft
Geeub,ジーブ,,source: Conversations.jp.xml,draft
gel,ゲル,,source: ui-liquids.ja.json,draft
Girsh,ギルシュ,ギルシュ,超常派閥,draft
Glow-wights,燐光ワイト,燐光ワイト,超常派閥,draft
Goatfolk,山羊人（ゴートフォーク）,山羊人,種族＝派閥として扱われる,draft
Goek,ゴエク,,source: Conversations.jp.xml,draft
Golem Operating Manual,巨大生物操作マニュアル,,source: Books.jp.xml; ID=GolemOperatingManual; ゲーム内タイトルは「OPERATING MANUAL FOR LARGE CREATURE」,draft
Golgotha,ゴルゴタ,,廃棄処理複合施設,confirmed
Grand Vestibule,大前室,,source: Worlds.jp.xml,draft
Grandchildren of Mamon,マモンの孫たち,,source: world-factions.ja.json,draft
Grazing hedonists,放牧の快楽派,快楽派,食楽・酪農の享楽主義,draft
Great Sea,大海,,source: Worlds.jp.xml,draft
green goo,緑の粘液,,source: ui-liquids.ja.json,draft
Grit Gate,グリット・ゲート,グリット・ゲート,バラサラム派の本拠,draft
Gunner-Knight Templar,銃装聖堂騎士,銃装聖堂騎士,,draft
Gyamyo,ギャミオ,,source: Conversations.jp.xml,draft
Gyl,ギル,ギル,リボディ装置のある聖所,draft
Gyre Wight Agolgot,アゴルゴト,,source: Conversations.jp.xml,draft
Gyre Wight Bethsaida,ベツセイダ,,source: Conversations.jp.xml,draft
Gyre Wight Qas,カス,,source: Conversations.jp.xml,draft
Gyre Wight Qon,コン,,source: Conversations.jp.xml,draft
Gyre Wight Rermadon,レルマドン,,source: Conversations.jp.xml,draft
Gyre Wight Shug'ruith,シュグルイス,,source: Conversations.jp.xml,draft
Gyre wights,渦動ワイト,渦動ワイト,超常派閥,draft
Haddas,ハッダス,,source: Conversations.jp.xml,draft
Haggabah,ハッガバ,,source: Creatures.jp.xml,draft
Hamilcrab,ハミルクラブ,,source: Creatures.jp.xml,draft
Herododicus,ヘロドディクス,,source: Creatures.jp.xml,draft
High Priest of the Stilt,スティルトの大司祭,大司祭,宗教称号,draft
Hindren of Bey Lah,ベイ・ラーのヒンドレン,ヒンドレン,半獣人の共同体,draft
History of Joppa Vol 1,ジョッパの歴史 第1巻,,source: Books.jp.xml,draft
History of Joppa Vol 2,ジョッパの歴史 第2巻,,source: Books.jp.xml,draft
Holy City of Ezra,聖都エズラ,,都市名,draft
honey,はちみつ,,source: ui-liquids.ja.json,draft
Hortensa,ホルテンザ,,source: Conversations.jp.xml,draft
hulk honey tonic,ハルク ハニートニック,,source: world-effects-tonics.ja.json,draft
Imperial Biographer,帝国伝記官,,source: Conversations.jp.xml (ID=ImperialBiographer unique NPC Herododicus),draft
In Maqqom Yd,マッコム・イドにて,,source: Books.jp.xml,draft
ink,インク,,source: ui-liquids.ja.json,draft
Irudad,イルーダド,,source: Conversations.jp.xml,draft
Isahind,イサヒンド,,source: Conversations.jp.xml,draft
Iseppa,イセッパ,,source: Conversations.jp.xml,draft
Issachari,イッサカリ,,source: Factions.jp.xml; world-factions.ja.json; Factions DisplayName=イッサカリ族,draft
Issachari tribe,イッサカリ族,イッサカリ族,塩砂漠の掠奪民,draft
Jacobo,ハコボ,,source: Conversations.jp.xml,draft
Jalopy,ジャロピー,ジャロピー,初出のみ「ジャロピー（ガラクタ車）」と補足,draft
Joppa,ジョッパ,ジョッパ,開始村（固定）,confirmed
Jotun,ヨトゥン,,source: Creatures.jp.xml,draft
Kah,カー,,source: Conversations.jp.xml,draft
Kah's Loop,カーの追想,,source: Books.jp.xml; ID=KahsLoop; [name] Remembersパターン準拠,draft
Keh,ヒンドリアーク・ケー,,source: Conversations.jp.xml,draft
Kesehind,ケセヒンド,,source: Conversations.jp.xml,draft
Knight Commander of the Holy Temple,聖堂騎士団長,騎士団長,,draft
Knight Liminal,ナイト・リミナル,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Knight Templar,聖堂騎士,聖堂騎士,Templar 個人位階,draft
Krka,クルカ,,source: Conversations.jp.xml,draft
Kyakukya,キャクキャ,キャクキャ,密林の村,draft
Lake Hinnom,ヒンノム湖,ヒンノム湖,,draft
lava,溶岩,,source: ui-liquids.ja.json,draft
Lebah,レバ,,source: Conversations.jp.xml,draft
Liihart,リーハート,,source: Conversations.jp.xml,draft
Liminal Way,境界の道,,source: Worlds.jp.xml,draft
Lives 1,軽薄なる生 第1巻,,source: Books.jp.xml,draft
love tonic,ラブトニック,,source: world-effects-tonics.ja.json,draft
Lower Crypts: Warriors and Tutors,下層墓所：戦士と教師,,source: Worlds.jp.xml,draft
Lulihart,ルリハート,,source: Conversations.jp.xml,draft
Mafeo,マフェオ,,source: Conversations.jp.xml,draft
Mak,マク,,source: Conversations.jp.xml,draft
Mamon,マモン,,source: Factions.jp.xml; world-factions.ja.json; Factions DisplayName=マモンの子ら,draft
Many Eyes,メニー・アイズ,,source: Conversations.jp.xml,draft
Mechanimist,メカニマス教徒,メカニマス教徒,個人称（派閥は Mechanimists を参照）,draft
Mechanimist Librarian,メカニマス教徒の司書,,source: Conversations.jp.xml (ID=MechanimistLibrarian unique NPC),draft
Mechanimist Pilgrim,メカニマス教徒の巡礼者,,source: Conversations.jp.xml (ID=MechanimistPilgrim) + Creatures.jp.xml DisplayName confirmed,draft
Mechanimists,メカニマス教団,メカニマス教,Six Day Stilt を聖地とする宗教勢力,draft
Mehmet,メフメット,,source: Conversations.jp.xml,draft
Merchants' Guild,商人ギルド,商人ギルド,交易者ネットワーク,draft
Meyehind,メイエヒンド,,source: Conversations.jp.xml,draft
Miryam,ミリアム,,source: Conversations.jp.xml,draft
Modulo Moon Stair,モジュロの月階段と生命の木,,source: Books.jp.xml,draft
Moghra'yi,モグラヤイ,モグラヤイ,大塩砂漠の正式名称。地名は常にこの表記,confirmed
molten wax,溶けた蝋,,source: ui-liquids.ja.json,draft
Moon Stair,ムーン・ステアー,ムーン・ステアー,階段状地形の長大地域,draft
Mopango,モパンゴ,モパンゴ,Eaters 墓域周辺の勢力,draft
Murmur's Prayer,ささやきの祈り,,source: Books.jp.xml,draft
Nacham,ナハム,,source: Conversations.jp.xml,draft
Nacham's Ribbon,ナチャムの追想,,source: Books.jp.xml; ID=NachamsRibbon; [name] Remembersパターン準拠,draft
Naphtaali,ナフタリ,,source: Factions.jp.xml; world-factions.ja.json; Factions DisplayName=ナフタリ族,draft
Naphtaali tribe,ナフタリ族,ナフタリ族,森林圏の宗教共同体,draft
Neek,ニーク,,source: Conversations.jp.xml,draft
Neelahind,ニーラヒンド,,source: Conversations.jp.xml,draft
Nephilim,ネフィリム,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
neutron flux,中性子 フラックス,,source: ui-liquids.ja.json,draft
Newly Sentient Beings,新知性体,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Nima Ruda,ニマ・ルーダ,,source: Conversations.jp.xml,draft
Northern Ark,北方の方舟,,source: Worlds.jp.xml,draft
Northwise moors,北の湿原,,source: Worlds.jp.xml,draft
Nuntu,ヌントゥ,,source: Conversations.jp.xml,draft
Oboroqoru,オボロコル,,source: Conversations.jp.xml,draft
oil,油,,source: ui-liquids.ja.json,draft
Omonporch,オモンポーチ,オモンポーチ,スピンドル麓の拠点,draft
ooze,軟泥,,source: ui-liquids.ja.json,draft
Opal's Duskwaters,オパルの黄昏水,黄昏水,別案：逢魔水,draft
Otho,オソ,,source: Conversations.jp.xml,draft
Palladium Reef,パラジウム礁,パラジウム礁,海底域,draft
Pariahs,棄民（パリア）,パリア,社会外の追放民。ヒンドレン出身者が多い,draft
Pax Klanq,パクス・クランク,パクス・クランク,Barathrum 派と協働する菌学ティンカー（Spread Pax 導線）,confirmed
Phinae Hoshaiah,フィナエ・ホシャイア,,source: Conversations.jp.xml,draft
Point of Tifaret,ティファレトの頂,,source: Worlds.jp.xml,draft
primordial soup,原始スープ,,source: ui-liquids.ja.json,draft
Protector of the Stilt,スティルト守護者,守護者,宗教称号,draft
putrescence,腐敗液,,source: ui-liquids.ja.json,draft
Putus Templar,プトゥス聖堂騎士団,聖堂騎士団,反変異主義の騎士修道会,draft
Q Girl,Qガール,Qガール,グリット・ゲートの弟子ティンカー。人名も UI もこの表記で固定,draft
Qlippoth,クリフォト,,ゴートフォークの変異個体（Qlippoth）。名称と綴りは常にこの表記で固定する,draft
Qud,クッド,,,approved
Quetzal Council,ケツァール評議会,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Rainbow Wood,虹の森,虹の森,,draft
Red Rock,レッドロック（赤岩）,レッドロック,短：レッドロック／文：赤岩,draft
Resheph,レシェフ,,source: Factions.jp.xml; HiddenConversations.jp.xml; world-factions.ja.json; Factions DisplayName=とぐろを巻く子羊のカルト,confirmed
River Opal,オパル川,オパル川,Opal 表記ゆれ：オパール,draft
River Svy,スヴィ川,スヴィ川,,draft
River Yonth,ヨンス川,ヨンス川,,draft
Rodanis Y,ロダニス Y,,source: Creatures.jp.xml,draft
Rokhas,ロカス,,source: Conversations.jp.xml,draft
rubbergum tonic,ラバーガムトニック,,source: world-effects-tonics.ja.json,draft
Ruin of House Isner,イスナー家の没落,,source: Books.jp.xml,draft
Rust Wells,ラスト・ウェル（錆の井戸群）,ラスト・ウェル,序盤ダンジョン,draft
Rusted Archway,ラステッド・アーチ（錆びたアーチ門）,ラステッド・アーチ,短縮推奨,draft
Saad Amus,サード・アムス,,source: Creatures.jp.xml,draft
salt,塩,,source: ui-liquids.ja.json,confirmed
Salt Dunes,塩砂丘,塩砂丘,,draft
Salt Marsh,塩性湿地,塩湿地,,draft
salve tonic,サルヴトニック,,source: world-effects-tonics.ja.json,draft
Santalalotze,サンタラロツェ,,source: Conversations.jp.xml,draft
sap,樹液,,source: ui-liquids.ja.json,draft
Seekers,盲道の徒,,source: Factions.jp.xml; world-factions.ja.json,draft
Seekers of the Sightless Way,盲道の求道者,盲道の徒,別案：無眼道の求道者。サイオニック教団,draft
shade oil tonic,シェードオイルトニック,,source: world-effects-tonics.ja.json,draft
Shallow Stair,浅階,,source: Worlds.jp.xml,draft
Shem,シェム,,source: Conversations.jp.xml,draft
Shielding Arch,庇護のアーチ,,source: Worlds.jp.xml,draft
Shomer,レインウォーター・ショーマー,,source: Conversations.jp.xml,draft
Six Day Stilt,スティルト（初出：六日のスティルト）,スティルト,固有聖地名。直訳「柱」は避ける,draft
Sixshrew,シックスシュルー,,source: Conversations.jp.xml,draft
skulk tonic,スカルクトニック,,source: world-effects-tonics.ja.json,draft
slime,スライム,,source: ui-liquids.ja.json,draft
Slog,スログ,,source: Creatures.jp.xml,draft
sludge,汚泥,,source: ui-liquids.ja.json,draft
Sludges,スラッジ,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Snapjaws,スナップジョー,,source: ChiliadFactions.jp.xml; Factions.jp.xml; world-factions.ja.json,draft
Solos,ソロ,,source: Factions.jp.xml; world-factions.ja.json,draft
Soups,スープ,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Sparafucile,スパラフチレ,スパラフチレ,グリット・ゲートの銃工。手話ベースの会話も同表記,draft
Sparking Baetyl,火花を散らすベテル,,source: Conversations.jp.xml,draft
sphynx salt tonic,スフィンクス ソルトトニック,,source: world-effects-tonics.ja.json,draft
Spindle Channel,スピンドルの水路,,source: Worlds.jp.xml,draft
Star Orchid Temple,星蘭の寺院,,source: Worlds.jp.xml,draft
Starfarer's Quay,星渡りの桟橋,,source: Worlds.jp.xml,draft
Stiltgrounds,スティルト外縁,外縁,スティルト周辺の幕営地,draft
Stopsvalinn,『クッドの貴族と名家の系譜』より,,source: Books.jp.xml,draft
Sultan,スルタン,,タイトル,confirmed
Sultan croc,スルタン・クロコダイル,スルタン・クロコダイル,死体名は「スルタン・クロコダイルの死体」で統一,draft
Sultan cults,スルタン教団,スルタン教団,世代史で生成される崇拝派（動的）,draft
sunslag,サンスラグ,,source: ui-liquids.ja.json,draft
Svardym,スヴァーディム,スヴァーディム,パラジウム礁周辺の両生類系,draft
Swilling Vast,大呑の淵,,source: Worlds.jp.xml,draft
Tam,タム,,source: Conversations.jp.xml,draft
Tammuz,タムズ,,source: Conversations.jp.xml,draft
tar,タール,,source: ui-liquids.ja.json,draft
Tau Chime,静止した結晶のチャイム,,source: Conversations.jp.xml,draft
Tau No Longer,タウ＝ノー＝ロンガー,,source: Conversations.jp.xml,draft
Tau Soft,光るソフト,,source: Conversations.jp.xml,draft
Templar,テンプラー,,source: Factions.jp.xml; world-factions.ja.json; Factions DisplayName=プトゥス聖堂騎士団,draft
Templar squire,聖堂騎士見習い（従士）,騎士見習い,,draft
Tether Bay,テザー湾,,source: Worlds.jp.xml,draft
Thah,タハ,,source: Conversations.jp.xml,draft
The Artless Beauty,飾らぬ美,,source: Books.jp.xml,draft
The Great Siach,大シアフ,,source: Worlds.jp.xml,draft
the hydropon,ハイドロポン,ハイドロポン,スリンスの施設・集落,draft
The North Sheva,ノース・シェヴァ,,source: Worlds.jp.xml,draft
The Recitation,エウドクシア溺死の朗誦,,source: Books.jp.xml,draft
The Six Day Stilt,六日のスティルト,スティルト,聖堂都市／初出では「六日のスティルト」と表記する,approved
The Spindle,スピンドル,スピンドル,天へ伸びる古代構造体,confirmed
Thicksalt,シックソルト,,source: Conversations.jp.xml,draft
Thin World,薄界（シン・ワールド）,薄界,別名表記あり,draft
Tikva,ティクヴァ,,source: Conversations.jp.xml,draft
Tillifergaewicz,ティリフェルガウィッチ,,source: Conversations.jp.xml,draft
Tinker,工匠,工匠,バラサラム派や各集落の技術職汎称。Naphtaali ほか種族を問わず「◯◯の工匠」と訳す,confirmed
Tomb of the Eaters,喰らう者の墓所,喰らう者の墓所,大規模終盤エリア,approved
Tszappur,ツザップル,,source: Conversations.jp.xml,draft
Tunnels of Ur,ウルの坑道,,source: Worlds.jp.xml,draft
Tzedech,ツェデク,,source: Conversations.jp.xml,draft
Tzimtzlum,ツィムツルム,,source: Worlds.jp.xml,draft
ubernostrum tonic,ウベルノストラムトニック,,source: world-effects-tonics.ja.json,draft
Une,ウネ,,source: Conversations.jp.xml,draft
Upper Crypts: Priests and Royal Families,上層墓所：司祭と王族,,source: Worlds.jp.xml,draft
Urshiib Librarian,ウルシーブの司書,,source: Creatures.jp.xml,draft
Urshiib Merchant,ウルシーブの商人,,source: Creatures.jp.xml,draft
Vaam,ヴァアム,,source: Conversations.jp.xml,draft
Vaam's Lens,ヴァームの追想,,source: Books.jp.xml; ID=VaamsLens; [name] Remembersパターン準拠,draft
Vivira,ビヴィラ,,source: Conversations.jp.xml,draft
Wandering Tau,さすらいのタウ,,source: Conversations.jp.xml,draft
Warden,監視官,監視官,Fellowship of Wardens の職名。汎称／冠称ともに「監視官◯◯」で統一する,draft
Warden Esthers,監視官エスター,,source: Conversations.jp.xml,draft
Warden Yrame,監視官イラメ,,source: Conversations.jp.xml,draft
Wardens,監視官,,source: Factions.jp.xml; world-factions.ja.json,draft
warm static,ウォームスタティック,,source: ui-liquids.ja.json,draft
water,水,,source: ui-liquids.ja.json,draft
Water barons,水の領主,水の領主,水利支配層（実体は希）,draft
wax,蝋,,source: ui-liquids.ja.json,draft
wine,ワイン,,source: ui-liquids.ja.json,draft
Woodsprog,ウッドスプロッグ,,source: Conversations.jp.xml,draft
Wraith-Knight Templar,亡霊聖堂騎士,亡霊聖堂騎士,,draft
Wraith-Knight Templar of the Binary Honorum,バイナリー・オノルムの亡霊聖堂騎士,,source: Creatures.jp.xml,draft
Yanshufim,ヤンシュフィム,,source: ChiliadFactions.jp.xml; world-factions.ja.json,draft
Yd Freehold,イド・フリーホールド,イド,別案：イド自由保有地,draft
Yla Haj,イラ・ハジ,,source: Conversations.jp.xml,draft
Yona,ヨナ,,source: Conversations.jp.xml,draft
Yurl,ユル,,source: Conversations.jp.xml,draft
Zealot of the Six Day Stilt,スティルトの狂信者,狂信者,宗教称号,draft
Zetachrome,ゼータクローム,,最高位金属素材,draft
Zothom,ゾソム,,source: Conversations.jp.xml,draft
