English,Japanese,Short,Notes,Status
Charging Strike,突撃して打つ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Chimera,キメラ,,source: Mutations.jp.xml,draft
Clairvoyance,千里眼,,source: Mutations.jp.xml,draft
Cleave,装甲を裂く,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Cold-Blooded,冷血,,source: Mutations.jp.xml,draft
Conatus,コナトゥス,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Confusing Breath,混乱ブレス,,source: HiddenMutations.jp.xml,draft
Confusion,混乱,,source: Mutations.jp.xml,draft
Confusion Gas Generation,混乱ガス生成,,source: HiddenMutations.jp.xml,draft
Conk,こん棒で殴る,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Cooking and Gathering,料理と採集,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Corrosive Breath,腐食ブレス,,source: HiddenMutations.jp.xml,draft
Corrosive Gas Generation,腐食性ガス生成,,source: Mutations.jp.xml,draft
Crungling Gaze,クラングリングの視線,,source: HiddenMutations.jp.xml,draft
Cryokinesis,冷気操作,,source: Mutations.jp.xml,draft
Crystallinity,結晶性,,source: HiddenMutations.jp.xml,draft
Cudgel,棍棒,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Cudgel Proficiency,棍棒,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Customs and Folklore,風習と伝承,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Dark Vision,暗視,,source: HiddenMutations.jp.xml,draft
Dead Shot,急所を射抜く,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Decapitate,首を刎ねる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Decarbonizer,デカーボナイザー,,source: HiddenMutations.jp.xml,draft
Defensive Chromatophores,防御性色素胞,,source: HiddenMutations.jp.xml,draft
Defoliant Generation,落葉剤生成,,source: HiddenMutations.jp.xml,draft
Deft Blocking,巧みに受ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Deft Throwing,投げる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Demolish,破砕する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Deploy Turret,タレットを置く,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Disarming Shot,銃で武装解除,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Disassemble,分解する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Disintegration,分解,,source: Mutations.jp.xml,draft
Dismember,切断する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Disorienting Fire,撹乱射撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Domination,支配,,source: Mutations.jp.xml,draft
Double-muscled,二重筋肉,,source: Mutations.jp.xml,draft
Draw a Bead,照準を合わせる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Dueling Stance,決闘の構え,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Dystechnia,機械音痴,,source: Mutations.jp.xml,draft
Ego Projection,自我投射,,source: Mutations.jp.xml,draft
Electrical Generation,発電,,source: Mutations.jp.xml,draft
Electromagnetic Impulse,電磁衝動,,source: Mutations.jp.xml,draft
Electromagnetic Pulse,電磁パルス,,source: Mutations.jp.xml,draft
Empty the Clips,弾倉を空にする,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
En Garde!,アン・ガルド！と叫ぶ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Endurance,耐久,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Esper,エスパー,,source: Mutations.jp.xml,draft
Evil Twin,邪悪な双子,,source: Mutations.jp.xml,draft
Fastest Gun in the Rust,電光石火の抜き撃ち,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Fasting Way,断食,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Fear Aura,恐怖のオーラ,,source: HiddenMutations.jp.xml,draft
Fire Breath,火炎ブレス,,source: HiddenMutations.jp.xml,draft
Flaming Ray,炎線,,source: Mutations.jp.xml,draft
Flattening Fire,なぎ払う射撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Flurry,乱舞,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Force Bubble,力場泡,,source: Mutations.jp.xml,draft
Force Wall,力場壁,,source: Mutations.jp.xml,draft
Freezing Ray,凍結線,,source: Mutations.jp.xml,draft
Freezing Ultraray,凍結超光線,,source: HiddenMutations.jp.xml,draft
Frost Webs,氷結糸,,source: HiddenMutations.jp.xml,draft
Fungicide Generation,殺真菌剤生成,,source: HiddenMutations.jp.xml,draft
Gadget Inspector,機器を検査する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Gills,エラ,,source: HiddenMutations.jp.xml,draft
Glitter Dust Generation,グリッターダスト生成,,source: HiddenMutations.jp.xml,draft
Harvestry,収穫,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Heat Absorption,熱吸収,,source: HiddenMutations.jp.xml,draft
Heavy Weapon,重火器,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Heightened Hearing,強化聴覚,,source: Mutations.jp.xml,draft
Heightened Quickness,クイックネス強化,,source: Mutations.jp.xml,draft
Heightened Smell,強化嗅覚,,source: HiddenMutations.jp.xml,draft
Hobble,足を止める,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Hook and Drag,フック・アンド・ドラッグ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Hooks for Feet,鉤足,,source: Mutations.jp.xml,draft
Horns,角,,source: Mutations.jp.xml,draft
Hurdle,ハードル,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Ice Breath,氷結ブレス,,source: HiddenMutations.jp.xml,draft
Improved Aggressive Stance,攻勢の強化,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Improved Defensive Stance,守勢の強化,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Improved Dueling Stance,決闘の強化,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Infiltrate,潜入,,source: HiddenMutations.jp.xml,draft
Inspiring Presence,鼓舞する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Interdiction,インターディクション,,source: HiddenMutations.jp.xml,draft
Intimidate,威嚇する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Invisibility,透明化,,source: HiddenMutations.jp.xml,draft
Irisdual Beam,アイリスデュアル光線,,source: HiddenMutations.jp.xml,draft
Iron Mind,鉄の意志,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Irritable Genome,過敏ゲノム,,source: Mutations.jp.xml,draft
Jab,突く,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Juicer,ブーストする,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Juke,ジグザグにかわす,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Jump,跳ぶ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Kickback,蹴り戻し,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Kindle,着火,,source: Mutations.jp.xml,draft
Lay Mine / Set Bomb,地雷や爆弾を仕掛ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Learned,習得済み,,source: ui-skillsandpowers.ja.json,draft
Ley Shifting,レイシフト,,source: HiddenMutations.jp.xml,draft
Light Manipulation,光操作,,source: Mutations.jp.xml,draft
Lionheart,獅子の心,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Liquid Font,液体泉,,source: HiddenMutations.jp.xml,draft
Liquid Spitter,液体吐き,,source: HiddenMutations.jp.xml,draft
Lithifying Gaze,石化の視線,,source: HiddenMutations.jp.xml,draft
Long Blade,長剣,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Long Blade Proficiency,長剣,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Longstrider,長足,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Lunge,踏み込む,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Magnetic Pulse,磁気パルス,,source: HiddenMutations.jp.xml,draft
Make Camp,野営する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Mass Mind,集合精神,,source: Mutations.jp.xml,draft
Meal Preparation,調理準備,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Meditate,瞑想する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Melee,近接,,source: ui-skillsandpowers.ja.json,draft
Melee Weapons,近接武器,,source: ui-skillsandpowers.ja.json,draft
Menacing Stare,威圧の眼光,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Mental Mirror,精神鏡,,source: Mutations.jp.xml,draft
Metamorphosis,変態,,source: Mutations.jp.xml,draft
Mind over Body,精神で肉体を凌ぐ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Mind's Compass,心の羅針盤,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Multiple Arms,多腕,,source: Mutations.jp.xml,draft
Multiple Horns,多重角,,source: HiddenMutations.jp.xml,draft
Multiple Legs,多脚,,source: Mutations.jp.xml,draft
Multiweapon Expertise,両利き,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Multiweapon Fighting,多肢格闘,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Multiweapon Mastery,多肢戦闘,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Multiweapon Proficiency,副手で斬る,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Myopic,近視,,source: Mutations.jp.xml,draft
Narcolepsy,ナルコレプシー,,source: Mutations.jp.xml,draft
Nerve Poppy,神経ポピー,,source: Mutations.jp.xml,draft
Night Vision,暗視,,source: Mutations.jp.xml,draft
Nonlinearity,非線形,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Normality Breath,正常化ブレス,,source: HiddenMutations.jp.xml,draft
Normality Gas Generation,正常化ガス生成,,source: HiddenMutations.jp.xml,draft
Nostrums,秘薬を煎じる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Opportune Attacks,好機を突く,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Penetrating Strikes,貫通打撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Persuasion,説得,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Phasing,位相変換,,source: Mutations.jp.xml,draft
Photosynthetic Skin,光合成皮膚,,source: Mutations.jp.xml,draft
Physic,医術,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Pistol,拳銃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Plasma Emission,プラズマ放出,,source: HiddenMutations.jp.xml,draft
Pointed Circle,尖り円舞,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Poison Breath,毒ブレス,,source: HiddenMutations.jp.xml,draft
Poison Gas Generation,毒ガス生成,,source: HiddenMutations.jp.xml,draft
Poison Tolerance,耐毒,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Precognition,予知,,source: Mutations.jp.xml,draft
Proselytize,改宗させる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Psionic Migraines,サイオニック偏頭痛,,source: Mutations.jp.xml,draft
Psychometry,サイコメトリー,,source: Mutations.jp.xml,draft
Pyrokinesis,熱念動,,source: Mutations.jp.xml,draft
Quantum Fugue,量子フーガ,,source: HiddenMutations.jp.xml,draft
Quantum Jitters,量子震え,,source: Mutations.jp.xml,draft
Quills,棘,,source: Mutations.jp.xml,draft
Reflect Shame,恥辱反射,,source: HiddenMutations.jp.xml,draft
Regeneration,再生,,source: Mutations.jp.xml,draft
Rejoinder,反撃する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Repair,修理する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Repelling Force,反発力,,source: HiddenMutations.jp.xml,draft
Reverse Engineer,逆解析する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Scavenger,漁る,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Self-discipline,自律,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Sense Psychic,感応探知,,source: Mutations.jp.xml,draft
Shake It Off,振り払う,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Shame Breath,恥辱ブレス,,source: HiddenMutations.jp.xml,draft
Shank,刺す,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Shield,盾,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Shield Slam,シールドスラム,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Shield Wall,盾で壁を作る,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Short Blade,短剣,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Short Blade Expertise,短剣,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Single Weapon Fighting,単武器戦闘,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Slam,叩きつける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Sleep Breath,睡眠ブレス,,source: HiddenMutations.jp.xml,draft
Sleep Gas Generation,睡眠ガス生成,,source: Mutations.jp.xml,draft
Slime Glands,粘液腺,,source: Mutations.jp.xml,draft
Sling and Run,走り撃ち,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Snake Oiler,立ち回る,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Socially Repugnant,疎まれる存在,,source: Mutations.jp.xml,draft
Spacetime Vortex,時空渦,,source: Mutations.jp.xml,draft
Spicer,味付け,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Spider Webs,蜘蛛の巣,,source: HiddenMutations.jp.xml,draft
Spinnerets,糸腺,,source: Mutations.jp.xml,draft
Spontaneous Combustion,自然発火,,source: Mutations.jp.xml,draft
Spore Puff,胞子噴射,,source: HiddenMutations.jp.xml,draft
Spry,身軽さ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Staggering Block,よろめかせる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Starts with a recycling suit,リサイクルスーツを所持して開始,,source: ui-skillsandpowers.ja.json,draft
Staunch Wounds,出血を止める,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Steady Hand,拳銃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Steady Hands,弓とライフル,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Sticky Tongue,粘着舌,,source: HiddenMutations.jp.xml,draft
Stinger (Confusing Venom),毒針（混乱毒）,,source: Mutations.jp.xml,draft
Stinger (Paralyzing Venom),毒針（麻痺毒）,,source: Mutations.jp.xml,draft
Stinger (Poisoning Venom),毒針（猛毒）,,source: Mutations.jp.xml,draft
Strapping Shoulders,逞しい肩,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Stun Breath,気絶ブレス,,source: HiddenMutations.jp.xml,draft
Stunning Force,衝撃念力,,source: Mutations.jp.xml,draft
Sunder Mind,精神断裂,,source: Mutations.jp.xml,draft
Suppressive Fire,制圧射撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Sure Fire,確実な射撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Sweep,銃を薙ぎ払う,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Swift Blocking,素早く受ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Swift Reflexes,素早く反応する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Swimming,泳ぐ,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Swipe,薙ぎ払う,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Syphon Vim,活力吸収,,source: Mutations.jp.xml,draft
Tactful,気の利いたふるまい,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Tactics,戦術,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Tank,タンクする,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Telepathy,テレパシー,,source: Mutations.jp.xml,draft
Teleport Other,他者転送,,source: Mutations.jp.xml,draft
Teleportation,テレポーテーション,,source: Mutations.jp.xml,draft
Temporal Fugue,時間遁走,,source: Mutations.jp.xml,draft
Thick Fur,密毛,,source: Mutations.jp.xml,draft
Time Dilation,時間延伸,,source: Mutations.jp.xml,draft
Tinker I,工作する,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Tinker II,高度な工作,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Tinker III,熟練の工作,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Tinkering,工匠,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Tomorrowful,明日を今日見る,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Tonic Allergy,トニックアレルギー,,source: Mutations.jp.xml,draft
Trash Divining,ごみ占い,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Triple-jointed,三重関節,,source: Mutations.jp.xml,draft
Tumble,転がる,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Two-headed,双頭,,source: Mutations.jp.xml,draft
Two-hearted,二重心臓,,source: Mutations.jp.xml,draft
Ultra Fire,究極の射撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Unstable Genome,不安定ゲノム,,source: Mutations.jp.xml,draft
Urchin Belching,ウニ吐き,,source: HiddenMutations.jp.xml,draft
Wall Climber,壁登り,,source: HiddenMutations.jp.xml,draft
Waveform,ウェーブフォーム,,source: HiddenMutations.jp.xml,draft
Wayfaring,辺境行,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Weak Spotter,弱点を見抜く,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Weapon Expertise,単武器の巧緻,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Weapon Mastery,単武器の達人,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Weathered,風雪に耐える,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Canyons,峡谷を抜ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Flower Fields,花畑を抜ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Hills and Mountains,丘陵と山を抜ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Jungles,ジャングルを抜ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Marshes,湿地を抜ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Random,荒野の伝承: ランダム,,source: ui-skillsandpowers.ja.json,draft
Wilderness Lore: Rivers and Lakes,川と湖を渡る,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Ruins,遺跡を抜ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wilderness Lore: Salt Dunes,塩砂漠を抜ける,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
Wings,翼,,source: Mutations.jp.xml,draft
Wounding Fire,傷を負わせる射撃,,source: Skills.jp.xml; ui-skillsandpowers.ja.json,draft
